"","season","name","team","school","jersey","position","offensive_snaps","offensive_grade","defensive_snaps","defensive_grade","st_snaps","st_grade"
"95",2020,"Chance Lytle","colorado-buffaloes","COLORADO","74","G",201,52.6,NA,NA,11,62.8
"96",2020,"Ben Knutson","tulane-green-wave","TULANE","65","T",489,56.9,NA,NA,57,65.4
"97",2020,"Dillon Reinkensmeyer","virginia-cavaliers","VIRGINIA","79","G",376,69.7,NA,NA,1,NA
"98",2020,"Samuel Williams","louisiana-monroe-warhawks","LA MONROE","72","T",378,56.5,NA,NA,15,53.3
"99",2020,"T.J. Fiailoa","louisiana-monroe-warhawks","LA MONROE","68","G",538,46.9,NA,NA,65,60.7
"100",2020,"Jon Crisp","abilene-christian-wildcats","ABILENE CH","68","T",165,49.3,NA,NA,11,62
"101",2020,"Josh Pederson","louisiana-monroe-warhawks","LA MONROE","86","TE",454,59.5,1,60.1,14,63.3
"102",2020,"Tyler Lamm","louisiana-monroe-warhawks","LA MONROE","88","TE",302,55.8,NA,NA,68,57.4
"103",2020,"Drew Plitt","ball-state-cardinals","BALL ST","09","QB",416,74.6,NA,NA,4,60
"104",2020,"Jacob Mathis","usf-bulls","USF","85","TE",66,46.5,NA,NA,23,68.3
"105",2020,"DeVontres Dukes","usf-bulls","USF","18","WR",352,68.5,NA,NA,113,62.4
"106",2020,"Branden Mack","temple-owls","TEMPLE","01","WR",470,60.9,NA,NA,27,71.2
